timestamp,x,y,z_raw,z_filtered,proj_t,phase_state,height_state
1.77012e+09,-0.115767,6.5984,-0.314392,-0.306315,-0.0909121,1,0
1.77012e+09,-0.145457,6.66414,-0.319317,-0.308693,-0.115767,1,0
1.77012e+09,-0.168691,6.53871,-0.318167,-0.311452,-0.145457,1,0
1.77012e+09,-0.188107,6.45973,-0.31783,-0.31416,-0.168691,2,0
1.77012e+09,-0.211713,6.54757,-0.323979,-0.316679,-0.188107,2,0
1.77012e+09,-0.237116,6.71669,-0.33152,-0.318737,-0.211713,2,0
1.77012e+09,-0.25657,6.74337,-0.335287,-0.322162,-0.237116,2,0
1.77012e+09,-0.270955,6.77319,-0.338493,-0.325356,-0.25657,2,0
1.77012e+09,0.254956,6.64057,-0.501541,-0.329422,-0.270955,2,0
1.77012e+09,0.237938,6.6443,-0.502183,-0.366164,0.254956,2,0
1.77012e+09,0.211509,6.44374,-0.490262,-0.401805,0.237938,2,0
1.77012e+09,0.193624,6.53537,-0.496415,-0.433553,0.211509,0,0
1.77012e+09,0.17186,6.57281,-0.499966,-0.465779,0.193624,0,0
1.77012e+09,0.149558,6.64666,-0.50552,-0.498073,0.17186,0,0
1.77012e+09,0.12537,6.88874,-0.523426,-0.498869,0.149558,1,0
1.77012e+09,0.0936522,6.84384,-0.521461,-0.503118,0.12537,1,0
1.77012e+09,0.0641941,6.73425,-0.516344,-0.509358,0.0936522,1,0
1.77012e+09,0.028837,6.51309,-0.504088,-0.513344,0.0641941,1,0
1.77012e+09,0.00166618,6.43573,-0.501417,-0.514168,0.028837,1,0
1.77012e+09,-0.0277033,6.64572,-0.516665,-0.513347,0.00166618,1,0
1.77012e+09,-0.0567909,6.55293,-0.512957,-0.511995,-0.0277033,1,0
1.77012e+09,-0.0836334,6.55096,-0.515405,-0.510294,-0.0567909,1,0
1.77012e+09,-0.113139,6.61884,-0.521638,-0.510106,-0.0836334,1,0
1.77012e+09,-0.137718,6.56266,-0.520428,-0.513616,-0.113139,1,0
1.77012e+09,-0.165462,6.71952,-0.532442,-0.517419,-0.137718,1,0
1.77012e+09,-0.180439,6.49311,-0.5202,-0.520574,-0.165462,2,0
1.77012e+09,-0.208232,6.7575,-0.540363,-0.522023,-0.180439,2,0
1.77012e+09,-0.225205,6.72966,-0.540733,-0.527014,-0.208232,2,0
1.77012e+09,-0.256151,7.13063,-0.56768,-0.530833,-0.225205,2,0
1.77012e+09,0.259905,6.62285,-0.399176,-0.540284,-0.256151,2,0
1.77012e+09,0.241136,6.59207,-0.399277,-0.51363,0.259905,2,0
1.77012e+09,0.217095,6.47065,-0.394802,-0.489446,0.241136,2,0
1.77012e+09,0.20509,6.77522,-0.408668,-0.460333,0.217095,2,0
1.77012e+09,0.173239,6.46459,-0.395556,-0.43392,0.20509,0,1
1.77012e+09,0.145706,6.30302,-0.389195,-0.399495,0.173239,0,1
1.77012e+09,0.124531,6.54716,-0.401457,-0.397499,0.145706,0,1
1.77012e+09,0.0978082,6.62432,-0.406504,-0.397935,0.124531,1,1
1.77012e+09,0.0678912,6.48189,-0.401795,-0.400276,0.0978082,1,1
1.77012e+09,0.0361388,6.63301,-0.412149,-0.398901,0.0678912,1,1
1.77012e+09,0.00633052,6.67314,-0.416009,-0.40222,0.0361388,1,1
1.77012e+09,-0.0255015,6.64872,-0.417022,-0.407583,0.00633052,1,1
1.77012e+09,-0.0534433,6.47021,-0.410402,-0.410696,-0.0255015,1,1
1.77012e+09,-0.0851548,6.65614,-0.423242,-0.411475,-0.0534433,1,1
1.77012e+09,-0.110768,6.55863,-0.418904,-0.415765,-0.0851548,1,1
1.77012e+09,-0.142809,6.83553,-0.435937,-0.417116,-0.110768,1,1
1.77012e+09,-0.166198,6.73922,-0.434053,-0.421101,-0.142809,1,1
1.77012e+09,-0.18439,6.56948,-0.42777,-0.424507,-0.166198,2,1
1.77012e+09,-0.201323,6.4058,-0.421701,-0.427981,-0.18439,2,1
1.77012e+09,-0.227899,6.66131,-0.437788,-0.427673,-0.201323,2,1
1.77012e+09,-0.241698,6.55386,-0.433819,-0.43145,-0.227899,2,1
1.77012e+09,0.262618,6.67968,-0.297225,-0.431026,-0.241698,2,1
1.77012e+09,0.256656,6.98785,-0.304708,-0.403661,0.262618,2,1
1.77012e+09,0.22678,6.64857,-0.296252,-0.379048,0.256656,2,1
1.77012e+09,0.207476,6.72049,-0.297959,-0.353958,0.22678,2,1
1.77012e+09,0.181893,6.65884,-0.297417,-0.325993,0.207476,0,1
1.77012e+09,0.153143,6.46731,-0.291737,-0.298712,0.181893,0,1
1.77012e+09,0.126951,6.42667,-0.291557,-0.297615,0.153143,0,1
1.77012e+09,0.0995829,6.52649,-0.296732,-0.294984,0.126951,1,1
1.77012e+09,0.0702408,6.24207,-0.289687,-0.29508,0.0995829,1,1
1.77012e+09,0.0402964,6.56773,-0.301178,-0.293426,0.0702408,1,1
1.77012e+09,0.0136507,6.41037,-0.298936,-0.294178,0.0402964,1,1
1.77012e+09,-0.0177593,6.57582,-0.305929,-0.295618,0.0136507,1,1
1.77012e+09,-0.0456697,6.48745,-0.305279,-0.298492,-0.0177593,1,1
1.77012e+09,-0.0747915,6.59938,-0.312469,-0.300202,-0.0456697,1,1
1.77012e+09,-0.101019,6.49567,-0.31038,-0.304758,-0.0747915,1,1
1.77012e+09,-0.131225,6.7106,-0.320182,-0.306598,-0.101019,1,1
1.77012e+09,-0.157042,6.58385,-0.31774,-0.310848,-0.131225,1,1
1.77012e+09,-0.18126,6.62158,-0.322211,-0.31321,-0.157042,2,1
1.77012e+09,-0.198119,6.49753,-0.32039,-0.316596,-0.18126,2,1
1.77012e+09,-0.223874,6.64586,-0.328653,-0.31818,-0.198119,2,1
1.77012e+09,-0.244474,6.74393,-0.335299,-0.321835,-0.223874,2,1
1.77012e+09,-0.262246,6.75677,-0.338187,-0.324859,-0.244474,2,1
1.77012e+09,0.263254,6.5526,-0.493449,-0.328948,-0.262246,2,1
1.77012e+09,0.252877,6.75703,-0.508373,-0.363196,0.263254,2,1
1.77012e+09,0.238265,6.87912,-0.515042,-0.400792,0.252877,2,1
1.77012e+09,0.213501,6.74694,-0.509262,-0.43807,0.238265,0,1
1.77012e+09,0.18961,6.6832,-0.505811,-0.472863,0.213501,0,0
1.77012e+09,0.160864,6.54717,-0.498615,-0.506387,0.18961,0,0
1.77012e+09,0.133258,6.46756,-0.495853,-0.50742,0.160864,1,0
1.77012e+09,0.107879,6.5668,-0.503204,-0.504916,0.133258,1,0
1.77012e+09,0.082089,6.79315,-0.519766,-0.502549,0.107879,1,0
1.77012e+09,0.0498787,6.5701,-0.508092,-0.50465,0.082089,1,0
1.77012e+09,0.0222857,6.77824,-0.522349,-0.505106,0.0498787,1,0
1.77012e+09,-0.00775769,6.64634,-0.515829,-0.509853,0.0222857,1,0
1.77012e+09,-0.0398864,6.61636,-0.515449,-0.513848,-0.00775769,1,0
1.77012e+09,-0.0644555,6.41816,-0.505108,-0.516297,-0.0398864,1,0
1.77012e+09,-0.0948261,6.60766,-0.5207,-0.513366,-0.0644555,1,0
1.77012e+09,-0.121131,6.66774,-0.527132,-0.515887,-0.0948261,1,0
1.77012e+09,-0.147995,6.68,-0.529469,-0.516844,-0.121131,1,0
1.77012e+09,-0.171697,6.62376,-0.528428,-0.519572,-0.147995,1,0
1.77012e+09,-0.202708,6.96278,-0.551937,-0.522167,-0.171697,2,0
1.77012e+09,-0.212055,6.67147,-0.535852,-0.531533,-0.202708,2,0
1.77012e+09,-0.24311,7.06604,-0.563233,-0.534564,-0.212055,2,0
1.77012e+09,0.272552,6.65771,-0.402735,-0.541784,-0.24311,2,0
1.77012e+09,0.258273,6.7124,-0.404104,-0.516437,0.272552,2,0
1.77012e+09,0.228333,6.36756,-0.388873,-0.491572,0.258273,2,0
1.77012e+09,0.209232,6.39015,-0.38947,-0.45896,0.228333,2,0
1.77012e+09,0.194536,6.62971,-0.403544,-0.429683,0.209232,0,1
1.77012e+09,0.165794,6.49125,-0.396143,-0.397745,0.194536,0,1
1.77012e+09,0.140321,6.49194,-0.397848,-0.396427,0.165794,0,1
1.77012e+09,0.113206,6.56441,-0.402297,-0.395176,0.140321,1,1
1.77012e+09,0.0869,6.52948,-0.403384,-0.39786,0.113206,1,1
1.77012e+09,0.0570801,6.62939,-0.409826,-0.400643,0.0869,1,1
1.77012e+09,0.028,6.55877,-0.408878,-0.401899,0.0570801,1,1
1.77012e+09,-0.00227813,6.32533,-0.399748,-0.404446,0.028,1,1
1.77012e+09,-0.0320313,6.60485,-0.41471,-0.404826,-0.00227813,1,1
1.77012e+09,-0.0624407,6.65087,-0.420378,-0.407309,-0.0320313,1,1
1.77012e+09,-0.0897963,6.54079,-0.417635,-0.410708,-0.0624407,1,1
1.77012e+09,-0.11589,6.48748,-0.416924,-0.41227,-0.0897963,1,1
1.77012e+09,-0.149246,6.82585,-0.436138,-0.413879,-0.11589,1,1
1.77012e+09,-0.170945,6.66862,-0.430988,-0.421157,-0.149246,1,1
1.77012e+09,-0.185632,6.3832,-0.419517,-0.424413,-0.170945,2,1
1.77012e+09,-0.21299,6.65439,-0.435048,-0.42424,-0.185632,2,1
1.77012e+09,-0.233553,6.68478,-0.438312,-0.427723,-0.21299,2,1
1.77012e+09,-0.246081,6.57985,-0.435584,-0.432,-0.233553,2,1
1.77012e+09,0.262062,6.73417,-0.300383,-0.43189,-0.246081,2,1
1.77012e+09,0.237096,6.5845,-0.294189,-0.405769,0.262062,2,1
1.77012e+09,0.210158,6.30151,-0.286628,-0.380703,0.237096,2,1
1.77012e+09,0.202938,6.74976,-0.299677,-0.351019,0.210158,2,1
1.77012e+09,0.175646,6.61593,-0.295509,-0.323292,0.202938,0,1
1.77012e+09,0.149753,6.56084,-0.29493,-0.295277,0.175646,0,1
1.77012e+09,0.122144,6.57568,-0.296205,-0.294187,0.149753,0,1
1.77012e+09,0.0974418,6.78812,-0.30386,-0.29459,0.122144,1,1
1.77012e+09,0.0657886,6.48046,-0.296307,-0.298036,0.0974418,1,1
1.77012e+09,0.034977,6.56799,-0.301197,-0.297362,0.0657886,1,1
